,rest_name,rest_category,rest_number,rest_address,rest_location,rest_rating,rest_density
3043,더위스키바이로이,경양식,02  798 8855,서울특별시 강남구 역삼동 826-37번지 쌍용플래티넘밸류 ,"[37.4954056, 127.0304109]",94.61,12.2
3044,브럭시 강남파이낸스센터점,경양식,02  21122022,서울특별시 강남구 역삼동 737번지 강남파이낸스센터 ,"[37.4999269, 127.0365526]",81.57,3.57
3045,빌즈(bills),기타,02  34319012,서울특별시 강남구 역삼동 736-1번지 캐피탈타워 ,"[37.499794, 127.0350214]",53.36,10.72
3046,2018년5월,한식,02  499 4630,서울특별시 강남구 신사동 643-18번지 ,"[37.5267429, 127.0358887]",63.15,40.34
3047,덕후선생,중국식,02  514 3663,서울특별시 강남구 청담동 85-2번지 유리빌딩 ,"[37.5252076, 127.0401591]",73.18,76.1
3049,사라,경양식,02  543 8820,서울특별시 강남구 청담동 5 경원오피스텔,"[37.5236425, 127.0449328]",83.6,41.14
3050,리비플레이스,뷔페식,02  67111213,서울특별시 강남구 논현동 60-8,"[37.5200172, 127.0304502]",56.6,38.76
3051,해우리 선릉L7점,한식,02  539 4997,서울특별시 강남구 삼성동 142-41번지 (주)호텔롯데 L7 강남 ,"[37.5056545, 127.0515387]",74.2,53.45
3052,어니스트커피(HONEST COFFEE),경양식,02  556 0801,서울특별시 강남구 역삼동 700-20번지 ,"[37.504823, 127.0429625]",91.38,22.68
3053,형훈,일식,7049049082,서울특별시 강남구 신사동 520-1번지 ,"[37.520663, 127.0215773]",53.65,72.46
3054,리퓨엘,기타,02  510 9751,서울특별시 강남구 청담동 131번지 aloft HOTELS ,"[37.5236033, 127.055954]",60.1,67.97
3055,르 캬바레 도산(Le Cabaret DOSAN),경양식,02  67136730,서울특별시 강남구 논현동 60-8번지 ,"[37.5200172, 127.0304502]",77.59,0.53
3056,모던오뎅,분식,02  543 6994,서울특별시 강남구 신사동 561-8번지 ,"[37.5193417, 127.024908]",90.83,31.83
3057,옆집떡볶이 대치점,기타,02  508 3478,서울특별시 강남구 대치동 912-24 대일빌딩,"[37.5024811, 127.058539]",57.35,11.22
3058,카페 더 벨라,기타,02  577 4800,서울특별시 강남구 개포동 1238번지 석인빌딩 ,"[37.4781294, 127.0449741]",57.01,71.33
3059,하쿠시,일식,02  69530313,서울특별시 강남구 논현동 5-12번지 ,"[37.5172231, 127.023784]",71.33,9.04
3060,본설 삼성점,한식,02  555 5777,서울특별시 강남구 삼성동 157-18번지 ,"[37.5081147, 127.0574322]",59.88,13.38
3061,이야시,일식,02  543 2222,서울특별시 강남구 청담동 91-1번지 재림빌딩 ,"[37.5724511, 126.9983563]",58.62,82.2
